en,ml,pr,WER,CER,BLEU
Kanakadurgayum vilayoti shivankuttiyum vivaahitharaayi,കനകദുർഗയും വിളയോടി ശിവൻകുട്ടിയും വിവാഹിതരായി,കനകടുർഗയും വിലയോടി ശിവൻകുട്ടിയുംം വിവാഹിതരായി,75.0,6.8181818181818175,8.034284189446518
Gova modalil kashumaangayil ninnum pheni uthpaadippikkum; anumathi,ഗോവ മോഡലിൽ കശുമാങ്ങയിൽ നിന്നും ഫെനി ഉത്പാദിപ്പിക്കും; അനുമതി,ഗോവ മോഡലിൽ കശുമാങ്ങയിൽ നിന്നും ഫെനി ഉത്പാദിപ്പിക്കും; അനുമതി,0.0,0.0,100.0
Noopur sharmay‌kkethiraaya vimarshanam: supreem keaatathikku thuranna katthu,നൂപുർ ശർമയ്‌ക്കെതിരായ വിമർശനം: സുപ്രീം കോടതിക്ക് തുറന്ന കത്ത്,നൂപൂർ ശർമമ്‌ക്കെതിരായ വിമർശനം: സുപ്രീം കിആടതിക്ക് തുറന്ന കത്ത്,42.857142857142854,6.451612903225806,9.878765474230743
Pi.Gopinaathan naayar‍ shuddhavum suthaaryavumaaya vyakthithvatthinte utama: anusheaachicchu mukhyamanthi,പി.ഗോപിനാഥൻ നായര്‍ ശുദ്ധവും സുതാര്യവുമായ വ്യക്തിത്വത്തിന്റെ ഉടമ: അനുശോചിച്ച് മുഖ്യമന്ത്രി,പി.ഗോപിനാഥൻ നായർ‍ ശുദ്ധവും സുതാര്യവുമായ വ്യക്തിത്വത്തിന്റെ ഉടടാ: അനുഷിആചിചിച് മുഖ്യമന്ത്ഐ,50.0,11.11111111111111,14.772199911861211
Lashkare thayiba bheekaran thaalibu husyn bijepi amgam? Akalam paalicchu nethruthvam,ലഷ്കറെ തയിബ ഭീകരൻ താലിബ് ഹുസൈൻ ബിജെപി അംഗം? അകലം പാലിച്ച് നേതൃത്വം,ലഷ്കരെ തയയബ ഭീകരൻ താലിബ് ഹുസ് ബിജെപി അംഗം? അകലം പാലിച്ചു നേതൃത്വം,40.0,7.575757575757576,13.747081017605653
Otipiye cholli tharkkam: chennyyil ola taak‌si dryvar yaathrakkaarane iticchukeaannu,ഒടിപിയെ ചൊല്ലി തർക്കം: ചെന്നൈയിൽ ഒല ടാക്‌സി ഡ്രൈവർ യാത്രക്കാരനെ ഇടിച്ചുകൊന്നു,ഒട്തിപിയെ ചൊല്ലി തർക്കം: ചെന്നിയിയിൽ ഒള ടാക്‌സി ഡ്രൈവർ യാത്രക്കാരനെ ഇടിച്ചചുക്നന്്,44.44444444444444,14.102564102564102,14.923729480049117
Kannoor jillayile ellaa vidyaabhyaasa sthaapanangalkkum naale avadhi; pareekshakal maatti,കണ്ണൂർ ജില്ലയിലെ എല്ലാ വിദ്യാഭ്യാസ സ്ഥാപനങ്ങൾക്കും നാളെ അവധി; പരീക്ഷകൾ മാറ്റി,കണ്ണൂർ ജില്ലയിലെ എല്ലാ വിദ്യാഭ്യാസ സ്ഥാപനങ്ങൾക്കും നാലെ അവധി; പരീക്ഷകൾ മാറ്റി,11.11111111111111,1.2987012987012987,59.69491792019645
Manthi saji cheriyaantethu samghaparivaarin‍re bhaasha: ke.Si.Venugopaal‍,മന്ത്രി സജി ചെറിയാന്റേത് സംഘപരിവാറിന്‍റെ ഭാഷ: കെ.സി.വേണുഗോപാല്‍,മാ്ത്ഐ സാജി ചെറിയാന്റേത് സംഘപരിവാറിന്‍റെ ഭാഷ: കേ.സി.വേണുഗോപാൽ‍,50.0,11.11111111111111,20.205155046766237
Vaasthu vidagdhan chandrashekhar gurujiye aalukal nokkinilkke kutthikkonnu,വാസ്തു വിദഗ്ധൻ ചന്ദ്രശേഖർ ഗുരുജിയെ ആളുകൾ നോക്കിനിൽക്കെ കുത്തിക്കൊന്നു,വാസ്തു വിദഗ്ധ്ൻൻ ചന്ദ്രശേഖർ ഗുരുജിയെ ആളുകൾ നോക്കിനിൽക്കെ കുത്തിക്കൊന്ന്,28.57142857142857,4.3478260869565215,43.472087194499146
Bharikkaanilla prasidantum cheyarpazhsanum; ee panchaayatthu pinne aaru bharikkum?,ഭരിക്കാനില്ല പ്രസിഡന്റും ചെയർപഴ്സനും; ഈ പഞ്ചായത്ത് പിന്നെ ആരു ഭരിക്കും?,ഭരിക്കാനില്ല പ്രസിഡന്റും ചെയർപഴ്സനും; ഈ പഞ്ചായത്ത് പിന്നെ ആറു ഭരിക്കും?,12.5,1.4084507042253522,70.71067811865474
Doktarmaarkku nalkaamo poleesu  salyoottu? Salyoottu visheshangaliloote,ഡോക്ടർമാർക്ക് നൽകാമോ പൊലീസ്  സല്യൂട്ട്? സല്യൂട്ട് വിശേഷങ്ങളിലൂടെ,ഡോക്ടർമാർക്ക് നൽകാമമ പോലീസ്  സല്യൂട്ട്? സല്യൂട്ട് വിശേഷങ്ങളിലൂടടെ,50.0,4.6875,9.554427922043669
Traans‌phaattinte alavu 5l ninnu 3 shathamaanamaakki; aarogyam ‘nannaakkaan’ paddhathi,ട്രാൻസ്‌ഫാറ്റിന്റെ അളവ് 5ൽ നിന്ന് 3 ശതമാനമാക്കി; ആരോഗ്യം ‘നന്നാക്കാൻ’ പദ്ധതി,ട്രാൻസ്‌ഫാറ്ടിന്റെ അളവു 5ൽ നിന്ന് 3 ശതമാനമാക്കി; ആരോഗ്യം ‘നന്നാക്കാൻ’ പദ്ധതി,22.22222222222222,2.631578947368421,72.59795291154771
Manaali–leyilum atal dauthyatthinu ‘tanalmaan’ ke.Pi.Purushotthaman,മനാലി–ലേയിലും അടൽ ദൗത്യത്തിന് ‘ടണൽമാൻ’ കെ.പി.പുരുഷോത്തമൻ,മണാലി–ലെയിലും അറ് ദൌത്യത്തിന് ‘ടണൽമാണ്’ കേ.പി.പുരുഷോത്തമൻ,100.0,14.285714285714285,0
"‘‘kunjaalikkutti vannathu yudiephu pitikkaan, ensipi eldiephu vitilla’’","‘‘കുഞ്ഞാലിക്കുട്ടി വന്നത് യുഡിഎഫ് പിടിക്കാൻ, എൻസിപി എൽഡിഎഫ് വിടില്ല’’","‘‘കുഞ്ഞാലിക്കുട്ടി വന്നത് യുഡീഫഫഫ പിട്കികാകാ, എൻസിപി എൽഡിഫഫ വിറ്ടില്ല’’",57.14285714285714,15.942028985507244,7.7305517569394535
Oru poojyatthinu ethramaathram vilayundaakum? 254.4 koti namparennu telikom mekhala,ഒരു പൂജ്യത്തിന് എത്രമാത്രം വിലയുണ്ടാകും? 254.4 കോടി നമ്പറെന്ന് ടെലികോം മേഖല,ഒരു പൂജ്യത്തിന് എത്രമാത്രം വിലയുണ്ടാകും? 254.4 കോട്ടി നമ്പരെന്ന് തെലിക്ം മേഖല,33.33333333333333,6.666666666666667,46.71379777282001
30 koti perkku 2 vaakseenukal maathram mathiyaakilla; ini anumathi kittukayaarkku?,30 കോടി പേർക്ക് 2 വാക്സീനുകൾ മാത്രം മതിയാകില്ല; ഇനി അനുമതി കിട്ടുകയാർക്ക്?,30 കോട്ടി പേർക്കു 2 വാക്സീനുകൾ മാത്രം മതിയാകില്ല; ഇനി അനുമതി കിട്ടുകയാർക്ക്?,20.0,4.054054054054054,66.06328636027614
Kovidilum thilangi ‘dijittal gold’; pollumo bittu koyin?,കോവിഡിലും തിളങ്ങി ‘ഡിജിറ്റൽ ഗോൾഡ്’; പൊള്ളുമോ ബിറ്റ് കോയിൻ?,കോവിടിലും തിളങ്ങി ‘ഡിജിറ്റൽ ഗോൾഡ്’; പൊള്ളുമോ ബിറ്റു കോയിൻ?,28.57142857142857,3.4482758620689653,43.472087194499146
Kaalam thetti mazha; keralatthil 309 kotiyute krushinaasham; kanneerote karshakar,കാലം തെറ്റി മഴ; കേരളത്തിൽ 309 കോടിയുടെ കൃഷിനാശം; കണ്ണീരോടെ കർഷകർ,കാലം തെറ്റി മഴ; കേരളത്തിൽ 309 കോട്ടിയെടെ കൃഷിനാശം; കണ്ണീരോട്ട കർഷകർ,22.22222222222222,7.8125,48.549177170732335
‘koshangale thinnu theerkkunna pooppal’:  myookkarmykkosisu rogam  keralatthilum,‘കോശങ്ങളെ തിന്നു തീർക്കുന്ന പൂപ്പൽ’:  മ്യൂക്കർമൈക്കോസിസ് രോഗം  കേരളത്തിലും,‘കോശങ്ങളെ തിന്നു തീർക്കുന്ന പൂപ്പൽ’:  മ്യൂക്കർമമികകകോസസസ രോഗം  കേരളത്തിലും,14.285714285714285,6.756756756756757,48.8923022434901
