en,ml,pr,WER,CER,BLEU
"Vilkkukl vartthyaya divsm; kruppninju prthipkshm, veerote umayum","വിലക്കുകൾ വാർത്തയായ ദിവസം; കറുപ്പണിഞ്ഞ് പ്രതിപക്ഷം, വീറോടെ ഉമയും","വിൽക്കകക് വർത്ത്യയ ഡിവ്സം; ക്രപപ്പിഞ്ഞ് പൃരതിപ്്ഷഷ, വീരോട്ട് ഉമയുംം",100.0,31.25,0
Mrnntho mrcchtho aa bag?; pinrayi prnjthu shivshnkrinte mozhikku viruddham,മറന്നതോ മറച്ചതോ ആ ബാഗ്?; പിണറായി പറഞ്ഞത് ശിവശങ്കറിന്റെ മൊഴിക്കു വിരുദ്ധം,മൃണ്തോോ മമക്ഛ്ോോ ആ ബാഗ്?; പിൻ്ായി പ്രിജജത് ശിവ്ഷ്ൻകകിി്്െ മൊഴിക്കു വിരുദ്ധം,55.55555555555556,30.555555555555557,7.171781507224269
Prvasiyute mrnkarnm thlykketta kshthm; pinnil kvtteshn smghm,പ്രവാസിയുടെ  മരണകാരണം തലയ്ക്കേറ്റ ക്ഷതം; പിന്നിൽ ക്വട്ടേഷൻ സംഘം,പ്വവാിയയടടട മൃം്ർർംം ത്ലിക്കേറ്റ ക്ഷ്ത്ം; പിന്നിൽ ക്വ്റ്റേഷ് സ്ം്്ം,85.71428571428571,36.507936507936506,3.303164318013806
Keesartisi yooniynuklotu hykkotathi: ‘smrm thutrnnal shmplm lbhymakkl buddhimuttakum’,കെഎസ്ആർടിസി യൂണിയനുകളോട് ഹൈക്കോടതി: ‘സമരം തുടർന്നാൽ ശമ്പളം ലഭ്യമാക്കൽ ബുദ്ധിമുട്ടാകും’,കീസാർ്ിിി യൂണിയ്നുക്ലോട് ഹൈക്കോടതടതിി: ‘എെമംംം തുട്നനനാൽ ഷ്എപപിഎ ഭ്ഭ്മാക്ക് ബുദ്ധിമുട്ടാുംം’,100.0,34.883720930232556,0
Madhyma niynthna chtttthinethire annu prkshobhm; innu ntppakkl,മാധ്യമ നിയന്ത്രണ ചട്ടത്തിനെതിരെ അന്ന് പ്രക്ഷോഭം; ഇന്ന് നടപ്പാക്കൽ,മാധ്് നിയ്ന്ത്ന ച്്്്തതതിനെതിരെ അന്നു പൃരക്ോോ; ഇന്ന് ന്റിപ്പാകകകക,85.71428571428571,29.230769230769234,3.303164318013806
"‘enthum vilicchupryanulla sthlmlla niymsbha’; mklekkuricchu pramrshm, kshobhicchu mukhymnthi","‘എന്തും വിളിച്ചുപറയാനുള്ള സ്ഥലമല്ല നിയമസഭ’; മകളെക്കുറിച്ച് പരാമർശം, ക്ഷോഭിച്ച് മുഖ്യമന്ത്രി","‘എന്തും വിളിച്ചുപ്രയയനുള്ള സ്ഥ്ലലലല നിയ്ംസസ’; കകകലെക്കുറിച്്ു പ്രമമഷഷം, ക്ഷോഭിച്ചു മുഖിംം്്ഐ",87.5,28.57142857142857,2.777619034011792
Niymsbhaa drushyngl hasya pripatiklkkum mattum upyogikkruthennu speekkarute rooling,നിയമസഭാ ദൃശ്യങ്ങൾ ഹാസ്യ പരിപാടികൾക്കും മറ്റും ഉപയോഗിക്കരുതെന്ന് സ്പീക്കറുടെ റൂളിങ്,നിയ്ംസസാാ ദ്രിം്ങ്ൽ ഹാ്്യ പ്രിപാറി്്കകകകും മറ്റും ഉപ്യോഗിക്കകരതെന്ന് സ്പീക്കറുടെ റൂളിങ്,62.5,25.609756097560975,6.500593260343692
Aarkkum vendathe kovidu vakseen; kalavdhi pinnittu 100 koti dosu pazhakum,ആർക്കും വേണ്ടാതെ കോവിഡ് വാക്സീൻ; കാലാവധി പിന്നിട്ട് 100 കോടി ഡോസ് പാഴാകും,ആർക്കും വേണ്ടതെ കോവിട് വാ്സീൻ; കലാ്ധി പിന്നിട്ടു 100 കോട്ടി ദോസ് പഴകും,80.0,15.068493150684931,2.5098621243978974
Dileepinte jamym rddhakknmenna harji vicharnkkotthi thalli,ദിലീപിന്റെ ജാമ്യം റദ്ദാക്കണമെന്ന ഹർജി വിചാരണക്കോടതി തള്ളി,ദിലീപിന്റെ ജമമിം ദദ്ധക്കകനമമെന്ന ഹർജി വിച്ർ്കകകൊൊ്തി തല്ലി,66.66666666666666,31.57894736842105,4.854917717073234
Prthirodhnira theertthu bhrnpkshm; mukhymnthikku thttheertthu emelemar,പ്രതിരോധനിര തീർത്ത് ഭരണപക്ഷം; മുഖ്യമന്ത്രിക്കു തടതീർത്ത് എംഎൽഎമാർ,പ്തതിരോധ്നിര തീർത്ത് ഭ്ണണഷഷഷ; മുഖിംം്്ഇക്കു ത്ത്തീർത്തു എമേലെമാ,83.33333333333334,35.38461538461539,4.08248290463863
"Aiti parkkile mdya lysansu dvlpprkko, ko–dvlpprkko","ഐടി പാർക്കിലെ മദ്യ ലൈസൻസ് ഡവലപ്പർക്കോ, കോ–ഡവലപ്പർക്കോ","ഐറ് പാർക്കിലെ മ്്യയ ലൈസൻസസ ഡിവിൽിപിപ്കകകകകോ, കോ–ഡിവിൽിപിപ്കകകകകോ",83.33333333333334,43.39622641509434,4.08248290463863
Embasiyil abhayam theti mlyalikltkkm 100 sthreekal; vlyilayvril adhyaapakarum,എംബസിയിൽ അഭയം തേടി മലയാളികളടക്കം 100 സ്ത്രീകൾ; വലയിലായവരിൽ അധ്യാപകരും,എംബസസയിൽ അഭയം തതറി മലലയലലിക്ൽട്്്ക് 100 സ്ത്രീകൾ; വ്ലിയിലയ്വരിി അധ്യാപകരും,50.0,23.18840579710145,6.985342056580097
"Chndnkkatuklute nattile vijysugndhm; vna smrkshntthinayi neethu, rndam ranku","ചന്ദനക്കാടുകളുടെ നാട്ടിലെ വിജയസുഗന്ധം; വന സംരക്ഷണത്തിനായി നീതു, രണ്ടാം റാങ്ക്","ച്ണണഡൻക്കകകകുകുുുടെ നട്ടടിെെ വിജിസുഖ്ന്ഛ; വ്ന സ്മകക്്്്്തതിനായി നീത്, ർണഡഡം റാങ്കു",100.0,41.55844155844156,0
